,BDEP,TPO,HL,BHT,RPM,TOR,DEPT,WOB,Annotation
1607130804337,5048.276,25.62468761656591,525.4599863844953,33.832,0.0,0.0,5795.817,10.43,on_slips
1607130804845,5048.276,23.51131131829243,525.1699863920096,33.921,0.0,0.0,5795.817,10.72,on_slips
1607130805353,5048.104,24.56799946742917,524.6259864061055,34.005,0.0,0.0,5795.817,11.26,on_slips
1607130805862,5048.104,23.51131131829243,524.4219864113916,34.094,0.0,0.0,5795.817,11.47,on_slips
1607130806371,5047.932,24.56799946742917,523.9779864228962,34.175,0.0,0.0,5795.817,11.91,on_slips
1607130806881,5047.932,16.114494274335264,523.8699864256947,34.256,0.0,0.0,5795.817,12.02,on_slips
1607130807388,5047.77,21.662107057303142,523.7439864289596,34.347,0.0,0.0,5795.817,12.14,on_slips
1607130807902,5047.77,20.605418908166403,523.8019864274568,34.432,0.0,0.0,5795.817,12.09,on_slips
1607130808309,5047.594,22.71879520643988,523.8939864250729,34.521,0.0,0.0,5795.817,11.99,on_slips
1607130808817,5047.594,23.51131131829243,524.0379864213415,34.608,0.0,0.0,5795.817,11.85,on_slips
1607130809335,5047.418,22.71879520643988,524.5079864091631,34.701,0.0,0.0,5795.817,11.38,on_slips
1607130809842,5047.418,13.472773901493415,524.7379864032035,34.701,0.0,0.0,5795.817,11.15,on_slips
1607130810348,5047.245,20.605418908166403,525.4439863849099,34.872,0.0,0.0,5795.817,10.44,on_slips
1607130810855,5047.245,26.68137576570265,525.5659863817486,34.953,0.0,0.0,5795.817,10.32,on_slips
1607130811367,5047.073,15.057806125198525,525.7719863764108,35.042,0.0,0.0,5795.817,10.12,on_slips
1607130811875,5046.894,21.133762982734773,525.5699863816451,35.132,0.0,0.0,5795.817,10.32,on_slips
1607130812384,5046.894,20.077074833598036,525.4259863853763,35.203,0.0,0.0,5795.817,10.46,on_slips
1607130812890,5046.894,22.71879520643988,524.8839863994203,35.294,0.0,0.0,5795.817,11.0,on_slips
1607130813302,5046.732,23.51131131829243,524.5659864076603,35.375,0.0,0.0,5795.817,11.32,on_slips
1607130813825,5046.569,13.472773901493415,523.58998643295,35.55,0.0,0.0,5795.817,12.3,on_slips
1607130814332,5046.569,24.56799946742917,523.2999864404643,35.55,0.0,0.0,5795.817,12.59,on_slips
1607130814840,5046.31,21.662107057303142,522.9459864496371,35.717,0.0,0.0,5795.817,12.94,on_slips
1607130815349,5046.31,26.15303169113428,522.8259864527464,35.717,0.0,0.0,5795.817,13.06,on_slips
1607130815857,5046.31,15.586150199766896,522.8679864516582,35.887,0.0,0.0,5795.817,13.02,on_slips
